id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42196,50 sm Studio in the historic centre,184487,Carlo,,Santo Stefano,44.48507,11.34786,Entire home/apt,68,3,172,2019-04-01,1.64,4,198
46352,A room in Pasolini's house,467810,Eleonora,,Porto - Saragozza,44.49146,11.33504,Private room,28,1,186,2019-05-11,1.77,2,352
59697,BOLOGNA CENTRE RELAX & COMFORT,286688,Paolo,,Santo Stefano,44.48755,11.34058,Entire home/apt,70,1,217,2019-01-01,2.77,1,340
70366,Fuoriporta,356310,Maria Ebe,,Porto - Saragozza,44.49699,11.32206,Entire home/apt,69,1,6,2018-12-07,0.10,1,349
72319,AmaBologna Bed & Breakfast porticos,374533,Ersi,,Porto - Saragozza,44.48972,11.32072,Private room,36,3,30,2019-01-01,0.32,2,346
72628,Studio Spagna 2,377010,Donatella,,Porto - Saragozza,44.49176,11.33918,Entire home/apt,132,1,9,2019-05-07,4.50,3,213
83173,Cosy and bright rooms in Bologna,453008,Fulvio,,Navile,44.51013,11.34316,Private room,26,30,70,2018-06-19,0.72,2,132
85368,Garden House Bologna,467675,Anna Maria,,Santo Stefano,44.47834,11.35672,Entire home/apt,130,2,39,2019-03-18,0.45,1,343
87363,Green courtyard in Bologna,478689,Michelle,,Porto - Saragozza,44.49109,11.32244,Entire home/apt,75,5,25,2019-04-16,0.30,1,0
130642,B&B Betta & Bologna,643133,Elisabetta,,Savena,44.46755,11.3889,Private room,50,2,25,2016-10-19,0.26,1,365
145779,SINGLE ROOM,705535,Valerio,,Porto - Saragozza,44.4922,11.33727,Private room,40,3,56,2019-05-10,0.60,9,362
163336,Guesthouse Cartoleria - room 2,779753,Samantha,,Santo Stefano,44.48944,11.34848,Private room,35,1,91,2019-04-04,0.96,6,104
168963,Two room apartment for holiday or business,805148,Giuseppina,,Navile,44.5209,11.31697,Entire home/apt,50,3,4,2014-05-01,0.05,1,365
204553,Private Room & Bath Ex-Convent in Centro Storico,569422,Elizabeth,,Porto - Saragozza,44.49105,11.33982,Private room,49,2,229,2019-05-09,2.45,2,83
207245,3 Bedrooms + Terrace Bologna Old Town Center,569422,Elizabeth,,Porto - Saragozza,44.49254,11.34009,Entire home/apt,110,3,39,2019-03-11,0.47,2,66
209692,a Bologna per vacanze e lavoro ,1033461,Lelio,,Navile,44.51628,11.33074,Private room,25,1,17,2019-03-10,1.02,2,320
219878,Gorgeous Haven in Centro Storico,1139326,Eli,,Santo Stefano,44.48677,11.35494,Entire home/apt,85,3,125,2019-05-06,1.36,2,107
228124,"Self Check-In Apartment ""da Carlo e Alice""",1189801,Michela,,San Donato - San Vitale,44.50461,11.36924,Entire home/apt,48,2,144,2019-05-03,2.31,1,311
228628,"room in luxurious penthouse,centre",1193466,Luca,,Porto - Saragozza,44.49585,11.33838,Private room,66,2,96,2019-01-02,1.18,1,354
229114,Terrace between fair&city center,1196205,Davide,,Navile,44.51163,11.34916,Entire home/apt,64,3,25,2019-04-15,0.31,1,94
233922,Big and central studio open space,1224822,Antonella,,Porto - Saragozza,44.49589,11.32976,Entire home/apt,80,4,19,2018-07-02,0.28,1,337
246747,Charming centro Bologna room with rooftop view,1294101,Giovanna,,Porto - Saragozza,44.49702,11.34291,Private room,68,2,19,2019-04-04,0.24,1,352
250686,Guesthouse Cartoleria - room 4,779753,Samantha,,Santo Stefano,44.48858,11.34782,Private room,40,1,109,2019-05-13,1.28,6,104
266777,BOLOGNA CENTRE APARTMENT W/ GARDEN,1398894,Giulia,,Porto - Saragozza,44.49487,11.33241,Entire home/apt,85,3,47,2019-04-30,0.54,1,189
273713,pleasant bedroom in Bologna centre,1432012,Gianluca,,Porto - Saragozza,44.49517,11.33964,Private room,60,2,26,2019-04-13,0.51,1,363
283973,Homely home in charming Bologna,1476568,Tanya,,Porto - Saragozza,44.49069,11.3251,Private room,35,1,26,2019-03-20,0.30,2,346
286691,"Sunny,Quiet Room Near Center/Fiera ",1517686,Valerio,,Santo Stefano,44.47361,11.36977,Private room,50,1,21,2019-03-20,0.25,1,365
293536,Wonderful house in the heart of Bologna,1517643,Nicola,,Santo Stefano,44.49439,11.35371,Entire home/apt,130,7,30,2019-05-10,0.35,1,342
306910,Albiroli apartment-Piazza Maggiore,1578729,Giulio,,Santo Stefano,44.49555,11.3443,Entire home/apt,150,3,22,2019-03-08,0.25,1,283
309169,New Fresco Suite   in historic centre,184487,Carlo,,Santo Stefano,44.48563,11.34797,Private room,100,1,70,2019-03-18,0.94,4,0
359045,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49512,11.35045,Entire home/apt,55,7,55,2019-01-02,0.66,2,219
359082,Elegante Mansarda - BOLOGNA CENTRO,1817171,Francesca,,Santo Stefano,44.49687,11.35013,Private room,55,7,1,2019-01-25,0.27,2,283
372605,Graziosa casetta monolocale in Bologna,1875532,Antonella,,Santo Stefano,44.47758,11.34798,Entire home/apt,70,2,8,2018-07-15,0.36,1,323
372849,Apartment Pietro's (center city),1876282,Doriana E Pietro,,Santo Stefano,44.49242,11.35593,Entire home/apt,55,2,51,2019-04-05,0.76,2,324
373095,A due passi da Piazza Maggiore,1877146,Giulio,,Porto - Saragozza,44.49646,11.33054,Entire home/apt,69,2,71,2019-05-06,0.84,5,67
374090,Appartamento in pieno centro,1882258,Morena,,Porto - Saragozza,44.49462,11.33088,Entire home/apt,100,2,196,2019-04-30,2.29,2,354
374610,"Cozy studio ,WIFI,kitchen and bath!",1884566,Federico,,Santo Stefano,44.49128,11.35617,Entire home/apt,51,2,75,2019-03-18,1.00,4,345
376826,"Nice, Loft in the historic center",1877146,Giulio,,Porto - Saragozza,44.49603,11.33676,Entire home/apt,90,2,196,2019-04-23,2.29,5,222
383256,Apartment Open Space on two floor!,1884566,Federico,,Porto - Saragozza,44.50103,11.34218,Entire home/apt,75,2,146,2019-04-10,1.69,4,328
388886,Room 10min from city center and airport,1945715,Andrea,,Navile,44.52427,11.3142,Private room,30,2,11,2018-11-18,0.14,1,54
411523,Melograno's house downtown Bologna,2048622,Irene,,Santo Stefano,44.49395,11.35397,Entire home/apt,80,3,89,2019-04-25,1.25,3,280
428387,Casa Nobili,675980,Giuseppe,,Santo Stefano,44.49271,11.3449,Entire home/apt,57,2,427,2019-04-25,5.28,1,166
434123,La valigia italiana,2157833,Grazia,,San Donato - San Vitale,44.48593,11.36841,Private room,29,2,81,2019-04-21,0.95,1,88
434796,"BELLA RESINA,zona FIERA tangenziale",2160085,Claudia,,San Donato - San Vitale,44.52134,11.38173,Private room,100,2,11,2018-09-27,0.14,1,0
442819,apartment near down town,2200704,Gianmassimo,,Porto - Saragozza,44.49583,11.31676,Private room,40,1,88,2019-04-29,1.04,1,57
447120,Green area ten minutes from downtow,2219894,Stefania,,Savena,44.46936,11.38413,Private room,48,1,10,2018-03-16,0.13,1,338
496906,charming studio in the old town,2453897,Alessandro,,Porto - Saragozza,44.49032,11.33749,Entire home/apt,65,2,3,2016-09-24,0.05,2,278
510771,"BOLOGNA CITY, NEAR FAIR AND AIRPORT",2516628,Coach Maurizio Salamina,,Borgo Panigale - Reno,44.49596,11.2911,Private room,100,1,52,2016-01-02,0.64,1,0
524880,Petronio's house in the heart of Bo,2048622,Irene,,Santo Stefano,44.48855,11.35387,Entire home/apt,60,3,114,2019-05-10,1.37,3,350
531700,Historical Center 2 Torri+ Ideal Family & Friends,2613427,Caterina,,Santo Stefano,44.49361,11.34889,Entire home/apt,56,2,289,2019-05-08,3.54,1,167
556818,A nice flat in the heart of thcity,612927,Angiolo,,Santo Stefano,44.49723,11.34701,Entire home/apt,120,3,77,2019-05-09,1.02,1,148
568236,Beautiful Historical Apartment,2606628,Barbara,,Santo Stefano,44.4808,11.36122,Entire home/apt,85,2,12,2016-03-22,0.15,1,359
570880,sweet loft in bologna's heart,123920,Giorgio,,Porto - Saragozza,44.49147,11.33661,Entire home/apt,100,2,58,2019-04-19,0.70,1,339
580236,Two rooms in Bologna,2671558,Fabio,,Santo Stefano,44.47563,11.37427,Shared room,28,2,16,2016-02-01,0.19,3,161
584370,Cosy Single Room with  bathroom,2879369,Andrea,,Porto - Saragozza,44.49092,11.31353,Private room,40,1,16,2019-04-05,0.21,2,350
